Trial;Treatment;Clay;CaCO3;pH;CN_ratio;Considered_depth;Initial_SOC_stock;Comments
TRIAL_1;FYM;178;115;8.35;10.39;28;53.04;
TRIAL_1;CON;178;115;8.39;10.35;28;50.95;
